image,width,height,mode,sigma,k,k_elbow,k_silhouette_best,cr_theoretical,cr_actual_vs_orig_png,cr_actual_vs_noisy_png,orig_file_bytes,orig_png_bytes,noisy_png_bytes,compressed_png_bytes,mse_vs_original,psnr_db_vs_original,ssim_vs_original,inertia,silhouette
4.2.05,512,512,clean,0,64,16,4,3.9960975609756098,1.8387665556187536,,786572,452594,,246140,12.240828514099121,37.25269547067839,0.9608850797325061,1764622.625,0.28563979268074036
4.2.05,512,512,noise,5,4,16,4,11.997803136632697,12.845376624850996,15.20301413407504,786572,452594,535663,35234,210.5986328125,24.896248134102482,0.7952981252947223,33851348.0,0.48460665345191956
4.2.05,512,512,noise,5,8,16,4,7.998047351720771,5.688498422633637,6.732564131568694,786572,452594,535663,79563,94.90251922607422,28.35802619763472,0.8110767107261285,15639987.0,0.3682795464992523
4.2.05,512,512,noise,5,16,16,4,5.997803538743136,3.5574577123813116,4.21039269320254,786572,452594,535663,127224,48.98661804199219,31.230029033752512,0.8530882200969044,8565312.0,0.30470287799835205
4.2.05,512,512,noise,5,32,16,4,4.797189146984189,1.7245815186120859,2.041110818977507,786572,452594,535663,262437,36.19693374633789,32.54408577999013,0.8389361311328449,5147040.5,0.24579843878746033
4.2.05,512,512,noise,5,64,16,4,3.9960975609756098,1.1316321121745827,1.3393316131097042,786572,452594,535663,399948,31.4029541015625,33.16109856436046,0.8315728914414091,3274167.0,0.22747749090194702
4.2.05,512,512,noise,10,4,16,4,11.997803136632697,8.36108699266594,11.142432247695405,786572,452594,603151,54131,232.1419677734375,24.47326699408996,0.6987571452258456,42737272.0,0.40047168731689453
4.2.05,512,512,noise,10,8,16,4,7.998047351720771,4.4486666601138225,5.928531409418403,786572,452594,603151,101737,117.1748046875,27.442461225776185,0.717381131206232,23690982.0,0.2823317050933838
4.2.05,512,512,noise,10,16,16,4,5.997803538743136,2.149824724737087,2.864971547457321,786572,452594,603151,210526,103.28506469726562,27.99042834977624,0.6475412123829948,15324058.0,0.24182462692260742
4.2.05,512,512,noise,10,32,16,4,4.797189146984189,1.297448069855576,1.7290487739153866,786572,452594,603151,348834,93.9327621459961,28.40263267668702,0.6273246997793259,9473641.0,0.22898569703102112
4.2.05,512,512,noise,10,64,16,4,3.9960975609756098,0.9385691504032417,1.2507875085283182,786572,452594,603151,482217,97.24298095703125,28.252220973137835,0.6140918590425887,6205424.5,0.2254294455051422
4.2.05,512,512,noise,15,4,16,4,11.997803136632697,6.608465840232453,9.480733569874575,786572,452594,649307,68487,268.56268310546875,23.840346937387725,0.5915336499321509,56875880.0,0.3279571235179901
4.2.05,512,512,noise,15,8,16,4,7.998047351720771,3.3003536660954533,4.734801473001057,786572,452594,649307,137135,195.2860107421875,25.224092270274475,0.5394969563510608,36161792.0,0.2466178983449936
4.2.05,512,512,noise,15,16,16,4,5.997803538743136,1.8394391383865067,2.6389229831335093,786572,452594,649307,246050,194.6912384033203,25.237339532549623,0.4930645656987184,23626338.0,0.2305605709552765
4.2.05,512,512,noise,15,32,16,4,4.797189146984189,1.1433992198710563,1.6403600517391217,786572,452594,649307,395832,201.3081512451172,25.09219000439745,0.47137281968738276,15100213.0,0.22808696329593658
4.2.05,512,512,noise,15,64,16,4,3.9960975609756098,0.839274720547112,1.204052530467226,786572,452594,649307,539268,208.42559814453125,24.94129304348849,0.4630800688478396,9899965.0,0.22068564593791962
4.2.05,512,512,noise,20,4,16,4,11.997803136632697,5.863528009535161,8.888143234699694,786572,452594,686058,77188,313.7571105957031,23.164867839645233,0.5101847627367508,75611040.0,0.28343355655670166
4.2.05,512,512,noise,20,8,16,4,7.998047351720771,2.8225205954437453,4.278476591976352,786572,452594,686058,160351,315.0807189941406,23.14658533037143,0.4190796495350606,50708176.0,0.24769814312458038
4.2.05,512,512,noise,20,16,16,4,5.997803538743136,1.6738562816672213,2.537290580272939,786572,452594,686058,270390,320.8223571777344,23.068157354808584,0.3927962928512055,33378320.0,0.22977016866207123
4.2.05,512,512,noise,20,32,16,4,4.797189146984189,1.0367898033142893,1.5716026701242056,786572,452594,686058,436534,342.4420471191406,22.78493276268493,0.3749939754616511,21574156.0,0.22559170424938202
4.2.05,512,512,noise,20,64,16,4,3.9960975609756098,0.7772469363081826,1.1781784085288785,786572,452594,686058,582304,362.7853698730469,22.534305960176663,0.3648701896017314,13999835.0,0.2203398495912552
4.2.05,512,512,noise,30,4,16,4,11.997803136632697,4.984680110576341,8.0769518816701,786572,452594,733363,90797,442.0,21.676580915188183,0.39133289205157107,123162768.0,0.24120131134986877
4.2.05,512,512,noise,30,8,16,4,7.998047351720771,2.510547657216395,4.06797872163393,786572,452594,733363,180277,618.1806030273438,20.219649870095193,0.2902314892226429,80746256.0,0.238584503531456
4.2.05,512,512,noise,30,16,16,4,5.997803538743136,1.3722163437195862,2.223477762584628,786572,452594,733363,329827,712.6672973632812,19.60193530372524,0.2645980326111171,53398624.0,0.2312762439250946
4.2.05,512,512,noise,30,32,16,4,4.797189146984189,0.9050594815536194,1.466517754478864,786572,452594,733363,500071,744.9802856445312,19.409355806687167,0.2574823921025945,34869684.0,0.22751469910144806
4.2.05,512,512,noise,30,64,16,4,3.9960975609756098,0.7003117867780744,1.1347537812850568,786572,452594,733363,646275,776.2036743164062,19.23104666638659,0.25290610624327586,22086250.0,0.23016326129436493
4.2.07,512,512,clean,0,4,16,4,11.997803136632697,16.387699869346108,,786572,526799,,32146,552.8854370117188,20.704452100840754,0.5741418957955098,82530800.0,0.47129085659980774
4.2.07,512,512,clean,0,8,16,4,7.998047351720771,9.711475712047193,,786572,526799,,54245,241.28216552734375,24.305551388319298,0.6705432846670526,35937296.0,0.43387266993522644
